630	15.4	0.0508	55.5	0.0271925	129.330
315	12.3	0.1016	55.5	0.0368233	135.674
2000	0	0.3048	71.3	0.00266337	127.461
3150	0	0.1524	71.3	0.0015988	129.377
2500	3	0.3048	39.6	0.00495741	120.162
500	15.4	0.0508	71.3	0.0264269	127.285
8000	0	0.0508	55.5	0.00076193	130.156
4000	0	0.0508	55.5	0.00076193	134.946
3150	4	0.2286	31.7	0.00509068	120.229
250	15.4	0.0508	31.7	0.0289853	121.225
200	15.4	0.0508	71.3	0.0264269	123.595
800	8.9	0.1016	71.3	0.0103088	137.813
315	9.5	0.0254	39.6	0.00449821	119.294
800	7.2	0.1524	71.3	0.00752039	136.023
1250	19.7	0.0508	39.6	0.036484	118.634
6300	1.5	0.3048	39.6	0.00392107	114.751
4000	12.6	0.1524	71.3	0.0483159	108.034
2000	5.4	0.1524	31.7	0.00525474	122.771
1000	3	0.3048	39.6	0.00495741	128.312
12500	4.8	0.0254	71.3	0.000848633	127.688
3150	7.2	0.1524	71.3	0.00752039	116.783
6300	0	0.3048	55.5	0.00283081	117.976
1250	4	0.2286	71.3	0.00400603	131.718
10000	2.7	0.1524	71.3	0.00243851	116.724
1000	12.7	0.0254	71.3	0.0121808	131.698
2000	15.6	0.1016	71.3	0.0437259	119.888
500	11.2	0.0508	39.6	0.0150478	131.960
400	7.3	0.2286	39.6	0.0123481	132.039
8000	3.3	0.1016	55.5	0.002211	120.569
800	4	0.3048	39.6	0.00579636	130.723
1600	0	0.0508	39.6	0.000791822	130.908
5000	4.8	0.0254	71.3	0.000848633	135.468
1250	6.7	0.1016	55.5	0.0052139	136.883
3150	15.6	0.1016	39.6	0.0528487	109.254
4000	0	0.0508	71.3	0.000740478	134.430
630	3.3	0.1016	39.6	0.00245138	127.251
5000	0	0.3048	55.5	0.00283081	119.606
2000	4	0.2286	39.6	0.00473801	121.659
3150	19.7	0.0508	39.6	0.036484	113.004
2500	12.6	0.1524	71.3	0.0483159	115.234
630	0	0.3048	55.5	0.00283081	127.696
6300	0	0.3048	31.7	0.00331266	113.775
6300	4	0.2286	39.6	0.00473801	114.249
1000	22.2	0.0254	39.6	0.0229028	128.416
4000	7.3	0.2286	71.3	0.0104404	119.208
3150	1.5	0.3048	39.6	0.00392107	119.111
2000	7.3	0.2286	39.6	0.0123481	117.809
1250	9.5	0.0254	39.6	0.00449821	130.964
800	22.2	0.0254	71.3	0.0214178	123.227
10000	0	0.0254	39.6	0.000428464	133.376
1600	2.7	0.1524	71.3	0.00243851	130.644
200	9.9	0.1524	31.7	0.0252785	127.299
1250	8.4	0.0508	71.3	0.00529514	132.086
10000	1.5	0.3048	71.3	0.00336729	113.492
4000	4.8	0.0254	71.3	0.000848633	134.928
5000	3	0.3048	71.3	0.00425727	118.134
2500	2	0.2286	55.5	0.00313525	123.862
4000	15.4	0.0508	31.7	0.0289853	115.635
2500	0	0.1016	55.5	0.00131983	133.040
4000	0	0.1524	39.6	0.00193287	125.343
4000	0	0.0254	39.6	0.000428464	135.346
4000	3	0.3048	31.7	0.00529514	115.608
10000	0	0.1016	39.6	0.00146332	119.561
1250	3	0.3048	31.7	0.00529514	124.838
3150	0	0.1016	55.5	0.00131983	131.780
8000	0	0.1524	55.5	0.00172668	121.903
1000	0	0.1016	55.5	0.00131983	129.800
3150	3.3	0.1016	39.6	0.00245138	128.401
2000	8.4	0.0508	71.3	0.00529514	134.476
400	9.5	0.0254	31.7	0.00461377	124.756
8000	15.4	0.0508	71.3	0.0264269	112.675
200	12.3	0.1016	39.6	0.0408268	128.545
10000	0	0.2286	71.3	0.00214345	118.134
315	12.6	0.1524	71.3	0.0483159	128.484
6300	9.5	0.0254	55.5	0.0043284	124.222
800	4.8	0.0254	31.7	0.000930789	122.648
500	8.4	0.0508	31.7	0.00580776	122.966
1000	0	0.2286	31.7	0.0027238	130.595
500	22.2	0.0254	71.3	0.0214178	117.967
2000	3.3	0.1016	39.6	0.00245138	132.301
10000	0	0.1016	55.5	0.00131983	121.930
1250	3.3	0.1016	31.7	0.00251435	134.022
1600	3.3	0.1016	71.3	0.00202822	133.664
5000	12.6	0.1524	71.3	0.0483159	108.034
6300	3.3	0.1016	55.5	0.002211	123.839
4000	3.3	0.1016	39.6	0.00245138	124.881
315	12.7	0.0254	71.3	0.0121808	122.938
500	3	0.3048	55.5	0.00452492	128.179
10000	0	0.1524	55.5	0.00172668	119.253
800	1.5	0.3048	71.3	0.00336729	127.122
1000	0	0.2286	39.6	0.00253511	130.435
1000	8.4	0.0508	71.3	0.00529514	129.946
1000	15.6	0.1016	71.3	0.0437259	124.438
200	22.2	0.0254	39.6	0.0229028	116.066
5000	4	0.2286	55.5	0.0042862	120.034
3150	0	0.0254	55.5	0.00041229	130.503
315	0	0.3048	39.6	0.00310138	122.779
2000	5.3	0.2286	39.6	0.00614329	117.911
10000	4.8	0.0254	71.3	0.000848633	127.398
500	17.4	0.0254	31.7	0.0176631	127.676
315	15.6	0.1016	71.3	0.0437259	133.808
2000	6.7	0.1016	71.3	0.00478288	134.568
4000	17.4	0.0254	39.6	0.0172206	122.724
250	0	0.3048	31.7	0.00331266	118.595
400	9.9	0.1524	31.7	0.0252785	128.939
5000	0	0.3048	39.6	0.00310138	117.789
250	7.3	0.2286	39.6	0.0123481	131.889
630	15.4	0.0508	71.3	0.0264269	129.645
400	2	0.2286	71.3	0.00293031	125.116
315	4	0.3048	71.3	0.00497773	128.175
2500	0	0.0254	39.6	0.000428464	131.836
4000	12.7	0.0254	71.3	0.0121808	131.808
8000	4.2	0.0508	71.3	0.00142788	125.268
2500	0	0.0508	71.3	0.000740478	131.310
3150	1.5	0.3048	71.3	0.00336729	123.392
1250	3.3	0.1016	39.6	0.00245138	133.211
1600	4.8	0.0254	39.6	0.000907475	125.966
3150	0	0.0508	55.5	0.00076193	134.826
400	3	0.3048	39.6	0.00495741	125.472
2500	7.3	0.2286	39.6	0.0123481	116.559
8000	0	0.0254	55.5	0.00041229	136.163
500	0	0.3048	55.5	0.00283081	126.416
5000	2.7	0.1524	39.6	0.00294804	121.499
10000	3	0.3048	71.3	0.00425727	110.224
5000	8.9	0.1016	39.6	0.0124596	113.080
5000	15.4	0.0508	31.7	0.0289853	112.355
800	9.5	0.0254	55.5	0.0043284	128.082
10000	2.7	0.1524	39.6	0.00294804	112.589
315	0	0.2286	55.5	0.00229336	119.540
3150	8.9	0.1016	39.6	0.0124596	119.350
800	0	0.3048	31.7	0.00331266	129.235
400	4	0.2286	39.6	0.00473801	123.879
630	6.7	0.1016	39.6	0.00578076	133.355
16000	0	0.0254	39.6	0.000428464	124.986
200	19.7	0.0508	39.6	0.036484	125.974
1600	0	0.0508	55.5	0.00076193	128.576
200	7.3	0.2286	31.7	0.0132672	128.679
